,min_sample,epsilon,n_cluster,silhouette_score,calinski_harabasz_score
232,61,0.5,39,0.23648781450184342,172.14751660094444
233,61,0.6,39,0.23648781450184342,172.14751660094444
234,61,0.7,39,0.23648781450184342,172.14751660094444
235,61,0.8,39,0.23648781450184342,172.14751660094444
236,61,0.9,39,0.23648781450184342,172.14751660094444
237,61,1.0,7,0.17438357206367944,964.8487501530825
238,61,1.1,7,0.17438357206367944,964.8487501530825
239,61,1.2,7,0.17438357206367944,964.8487501530825
240,61,1.3,7,0.17438357206367944,964.8487501530825
241,61,1.4,7,0.17438357206367944,964.8487501530825
242,61,1.5,2,0.37399245339921977,61.71408137877274
243,61,1.6,2,0.37399245339921977,61.71408137877274
244,61,1.7,2,0.37399245339921977,61.71408137877274
245,61,1.8,2,0.5271411021576174,20.3489763304732
246,61,1.9,2,0.5271411021576174,20.3489763304732
247,66,0.1,37,0.22131138108159842,173.1575441728039
248,66,0.2,37,0.22131138108159842,173.1575441728039
249,66,0.3,37,0.22131138108159842,173.1575441728039
250,66,0.4,37,0.22131138108159842,173.1575441728039
251,66,0.5,37,0.22131138108159842,173.1575441728039
252,66,0.6,37,0.22131138108159842,173.1575441728039
253,66,0.7,37,0.22131138108159842,173.1575441728039
254,66,0.8,37,0.22131138108159842,173.1575441728039
255,66,0.9,37,0.22131138108159842,173.1575441728039
256,66,1.0,7,0.1722541798906026,960.5944674484565
257,66,1.1,7,0.1722541798906026,960.5944674484565
258,66,1.2,7,0.1722541798906026,960.5944674484565
259,66,1.3,7,0.1722541798906026,960.5944674484565
260,66,1.4,7,0.1722541798906026,960.5944674484565
261,66,1.5,2,0.37425703892859535,64.41958958144832
262,66,1.6,2,0.37425703892859535,64.41958958144832
263,66,1.7,2,0.37425703892859535,64.41958958144832
264,66,1.8,2,0.5271411021576174,20.3489763304732
265,66,1.9,2,0.5271411021576174,20.3489763304732
266,71,0.1,37,0.22131138108159842,173.1575441728039
267,71,0.2,37,0.22131138108159842,173.1575441728039
268,71,0.3,37,0.22131138108159842,173.1575441728039
269,71,0.4,37,0.22131138108159842,173.1575441728039
270,71,0.5,37,0.22131138108159842,173.1575441728039
271,71,0.6,37,0.22131138108159842,173.1575441728039
272,71,0.7,37,0.22131138108159842,173.1575441728039
273,71,0.8,37,0.22131138108159842,173.1575441728039
274,71,0.9,37,0.22131138108159842,173.1575441728039
275,71,1.0,9,0.13267088781203434,739.9037823314325
276,71,1.1,9,0.13267088781203434,739.9037823314325
277,71,1.2,9,0.13267088781203434,739.9037823314325
278,71,1.3,9,0.13267088781203434,739.9037823314325
279,71,1.4,9,0.13267088781203434,739.9037823314325
280,71,1.5,2,0.357876566495256,74.54365933864561
281,71,1.6,2,0.357876566495256,74.54365933864561
282,71,1.7,2,0.357876566495256,74.54365933864561
283,71,1.8,2,0.5050898043793659,36.01024056002648
284,71,1.9,2,0.5050898043793659,36.01024056002648
285,76,0.1,33,0.18026703014557455,171.89231117176763
286,76,0.2,33,0.18026703014557455,171.89231117176763
287,76,0.3,33,0.18026703014557455,171.89231117176763
288,76,0.4,33,0.18026703014557455,171.89231117176763
289,76,0.5,33,0.18026703014557455,171.89231117176763
290,76,0.6,33,0.18026703014557455,171.89231117176763
291,76,0.7,33,0.18026703014557455,171.89231117176763
292,76,0.8,33,0.18026703014557455,171.89231117176763
293,76,0.9,33,0.18026703014557455,171.89231117176763
294,76,1.0,9,0.12916726408486284,735.6333764238265
295,76,1.1,9,0.12916726408486284,735.6333764238265
296,76,1.2,9,0.12916726408486284,735.6333764238265
297,76,1.3,9,0.12916726408486284,735.6333764238265
298,76,1.4,9,0.12916726408486284,735.6333764238265
299,76,1.5,2,0.3512321272699084,79.01081802634916
300,76,1.6,2,0.3512321272699084,79.01081802634916
301,76,1.7,2,0.3512321272699084,79.01081802634916
302,76,1.8,2,0.5050898043793659,36.01024056002648
303,76,1.9,2,0.5050898043793659,36.01024056002648
304,81,0.1,29,0.14109734392654025,170.8775275999977
305,81,0.2,29,0.14109734392654025,170.8775275999977
306,81,0.3,29,0.14109734392654025,170.8775275999977
307,81,0.4,29,0.14109734392654025,170.8775275999977
308,81,0.5,29,0.14109734392654025,170.8775275999977
309,81,0.6,29,0.14109734392654025,170.8775275999977
310,81,0.7,29,0.14109734392654025,170.8775275999977
311,81,0.8,29,0.14109734392654025,170.8775275999977
312,81,0.9,29,0.14109734392654025,170.8775275999977
313,81,1.0,8,0.14289873753944565,827.1099786523156
314,81,1.1,8,0.14289873753944565,827.1099786523156
315,81,1.2,8,0.14289873753944565,827.1099786523156
316,81,1.3,8,0.14289873753944565,827.1099786523156
317,81,1.4,8,0.14289873753944565,827.1099786523156
318,81,1.5,2,0.34812358199968496,79.2282889179106
319,81,1.6,2,0.34812358199968496,79.2282889179106
320,81,1.7,2,0.34812358199968496,79.2282889179106
321,81,1.8,2,0.5050898043793659,36.01024056002648
322,81,1.9,2,0.5050898043793659,36.01024056002648
323,86,0.1,27,0.11728631647067576,168.87521622217815
324,86,0.2,27,0.11728631647067576,168.87521622217815
325,86,0.3,27,0.11728631647067576,168.87521622217815
326,86,0.4,27,0.11728631647067576,168.87521622217815
327,86,0.5,27,0.11728631647067576,168.87521622217815
328,86,0.6,27,0.11728631647067576,168.87521622217815
329,86,0.7,27,0.11728631647067576,168.87521622217815
330,86,0.8,27,0.11728631647067576,168.87521622217815
331,86,0.9,27,0.11728631647067576,168.87521622217815
332,86,1.0,7,0.15326868607567154,930.9665454699751
333,86,1.1,7,0.15326868607567154,930.9665454699751
334,86,1.2,7,0.15326868607567154,930.9665454699751
335,86,1.3,7,0.15326868607567154,930.9665454699751
336,86,1.4,7,0.15326868607567154,930.9665454699751
337,86,1.5,2,0.3445670598391335,82.03242393911226
338,86,1.6,2,0.3445670598391335,82.03242393911226
339,86,1.7,2,0.3445670598391335,82.03242393911226
340,86,1.8,2,0.5050898043793659,36.01024056002648
341,86,1.9,2,0.5050898043793659,36.01024056002648
342,91,0.1,24,0.08696860722856835,172.13986305036508
343,91,0.2,24,0.08696860722856835,172.13986305036508
344,91,0.3,24,0.08696860722856835,172.13986305036508
345,91,0.4,24,0.08696860722856835,172.13986305036508
346,91,0.5,24,0.08696860722856835,172.13986305036508
347,91,0.6,24,0.08696860722856835,172.13986305036508
348,91,0.7,24,0.08696860722856835,172.13986305036508
349,91,0.8,24,0.08696860722856835,172.13986305036508
350,91,0.9,24,0.08696860722856835,172.13986305036508
351,91,1.0,7,0.15317207600997507,930.1739102094771
352,91,1.1,7,0.15317207600997507,930.1739102094771
353,91,1.2,7,0.15317207600997507,930.1739102094771
354,91,1.3,7,0.15317207600997507,930.1739102094771
355,91,1.4,7,0.15317207600997507,930.1739102094771
356,91,1.5,2,0.3240141317886578,100.24645016588823
357,91,1.6,2,0.3240141317886578,100.24645016588823
358,91,1.7,2,0.3240141317886578,100.24645016588823
359,91,1.8,2,0.5050898043793659,36.01024056002648
360,91,1.9,2,0.5050898043793659,36.01024056002648
361,96,0.1,23,0.0749734881813364,173.61850039284067
362,96,0.2,23,0.0749734881813364,173.61850039284067
363,96,0.3,23,0.0749734881813364,173.61850039284067
364,96,0.4,23,0.0749734881813364,173.61850039284067
365,96,0.5,23,0.0749734881813364,173.61850039284067
366,96,0.6,23,0.0749734881813364,173.61850039284067
367,96,0.7,23,0.0749734881813364,173.61850039284067
368,96,0.8,23,0.0749734881813364,173.61850039284067
369,96,0.9,23,0.0749734881813364,173.61850039284067
370,96,1.0,7,0.15012845591536214,924.1792722104776
371,96,1.1,7,0.15012845591536214,924.1792722104776
372,96,1.2,7,0.15012845591536214,924.1792722104776
373,96,1.3,7,0.15012845591536214,924.1792722104776
374,96,1.4,7,0.15012845591536214,924.1792722104776
375,96,1.5,2,0.32583059736348924,103.60180049449069
376,96,1.6,2,0.32583059736348924,103.60180049449069
377,96,1.7,2,0.32583059736348924,103.60180049449069
378,96,1.8,2,0.5050898043793659,36.01024056002648
379,96,1.9,2,0.5050898043793659,36.01024056002648
380,101,0.1,23,0.0749734881813364,173.61850039284067
381,101,0.2,23,0.0749734881813364,173.61850039284067
382,101,0.3,23,0.0749734881813364,173.61850039284067
383,101,0.4,23,0.0749734881813364,173.61850039284067
384,101,0.5,23,0.0749734881813364,173.61850039284067
385,101,0.6,23,0.0749734881813364,173.61850039284067
386,101,0.7,23,0.0749734881813364,173.61850039284067
387,101,0.8,23,0.0749734881813364,173.61850039284067
388,101,0.9,23,0.0749734881813364,173.61850039284067
389,101,1.0,7,0.15012845591536214,924.1792722104776
390,101,1.1,7,0.15012845591536214,924.1792722104776
391,101,1.2,7,0.15012845591536214,924.1792722104776
392,101,1.3,7,0.15012845591536214,924.1792722104776
393,101,1.4,7,0.15012845591536214,924.1792722104776
394,101,1.5,2,0.3230210552985461,106.68027225628742
395,101,1.6,2,0.3230210552985461,106.68027225628742
396,101,1.7,2,0.3230210552985461,106.68027225628742
397,101,1.8,2,0.5050898043793659,36.01024056002648
398,101,1.9,2,0.5050898043793659,36.01024056002648
399,106,0.1,19,0.044181530584644066,173.34031435483732
400,106,0.2,19,0.044181530584644066,173.34031435483732
401,106,0.3,19,0.044181530584644066,173.34031435483732
402,106,0.4,19,0.044181530584644066,173.34031435483732
403,106,0.5,19,0.044181530584644066,173.34031435483732
404,106,0.6,19,0.044181530584644066,173.34031435483732
405,106,0.7,19,0.044181530584644066,173.34031435483732
406,106,0.8,19,0.044181530584644066,173.34031435483732
407,106,0.9,19,0.044181530584644066,173.34031435483732
408,106,1.0,7,0.14877031742009988,915.8394314890609
409,106,1.1,7,0.14877031742009988,915.8394314890609
410,106,1.2,7,0.14877031742009988,915.8394314890609
411,106,1.3,7,0.14877031742009988,915.8394314890609
412,106,1.4,7,0.14877031742009988,915.8394314890609
413,106,1.5,2,0.3211228833605161,106.93194820417577
414,106,1.6,2,0.3211228833605161,106.93194820417577
415,106,1.7,2,0.3211228833605161,106.93194820417577
